Unnamed: 0.1,Unnamed: 0,vid,video_path,en_srt,zh_srt,age,gender,interests,level,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,zhihu_url
89,93.0,94,Video_Finished\94\94_CE.mp4,Video_Finished\94\94_English.srt,Video_Finished\94\94_Chinese.srt,"k12, adult","male, female",Travel,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093038180999173
90,94.0,95,Video_Finished\95\95_CE.mp4,Video_Finished\95\95_English.srt,Video_Finished\95\95_Chinese.srt,adult,"male, female","Education, Entertainment, Science",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093074444951553
91,95.0,96,Video_Finished\96\96_CE.mp4,Video_Finished\96\96_English.srt,Video_Finished\96\96_Chinese.srt,adult,"male, female","Education, Entertainment, Science",B2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093112957050882
92,96.0,97,Video_Finished\97\97_CE.mp4,Video_Finished\97\97_English.srt,Video_Finished\97\97_Chinese.srt,"k12, adult","male, female","Comedy, Humor, Thriller, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093190572634113
93,97.0,98,Video_Finished\98\98_CE.mp4,Video_Finished\98\98_English.srt,Video_Finished\98\98_Chinese.srt,adult,"male, female","Education, Entertainment, Science",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093240359051264
94,98.0,99,Video_Finished\99\99_CE.mp4,Video_Finished\99\99_English.srt,Video_Finished\99\99_Chinese.srt,adult,"male, female","DIY & Crafts, Home & Garden",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093307820232704
95,99.0,100,Video_Finished\100\100_CE.mp4,Video_Finished\100\100_English.srt,Video_Finished\100\100_Chinese.srt,"k12, adult","male, female","Sports, Thriller, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093360404201473
96,100.0,101,Video_Finished\101\101_CE.mp4,Video_Finished\101\101_English.srt,Video_Finished\101\101_Chinese.srt,"k12, adult","male, female","Art, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093404096286722
97,101.0,102,Video_Finished\102\102_CE.mp4,Video_Finished\102\102_English.srt,Video_Finished\102\102_Chinese.srt,adult,"male, female","Entertainment, Science",C1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835093658954780672
98,102.0,103,Video_Finished\103\103_CE.mp4,Video_Finished\103\103_English.srt,Video_Finished\103\103_Chinese.srt,"k12, adult","male, female","Education, Entertainment, Science",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835094466236657664
99,103.0,104,Video_Finished\104\104_CE.mp4,Video_Finished\104\104_English.srt,Video_Finished\104\104_Chinese.srt,"prek, k12, adult","male, female",Comedy,A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835094595215712258
100,104.0,105,Video_Finished\105\105_CE.mp4,Video_Finished\105\105_English.srt,Video_Finished\105\105_Chinese.srt,"k12, adult","male, female","Pets, Home & Garden, Love & Relationships, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835094634184970240
101,105.0,106,Video_Finished\106\106_CE.mp4,Video_Finished\106\106_English.srt,Video_Finished\106\106_Chinese.srt,"prek, k12, adult","male, female","Dance, Thriller, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835406774645174272
102,106.0,107,Video_Finished\107\107_CE.mp4,Video_Finished\107\107_English.srt,Video_Finished\107\107_Chinese.srt,"k12, adult","male, female",Education,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835406834682425344
