,Unnamed: 0.1,Unnamed: 0,vid,video_path,en_srt,zh_srt,age,gender,interests,level,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,zhihu_url,ar_srt
172,173.0,177.0,178,Video_Finished\178\178_CE.mp4,Video_Finished\178\178_English.srt,Video_Finished\178\178_Chinese.srt,adult,"male, female","Marriage, Psychology",C1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835062672628002819,Video_Finished\178\178_Arbic.srt
173,174.0,178.0,179,Video_Finished\179\179_CE.mp4,Video_Finished\179\179_English.srt,Video_Finished\179\179_Chinese.srt,"k12, adult","male, female","Entertainment, Social Media",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835062830946201604,Video_Finished\179\179_Arbic.srt
174,175.0,179.0,180,Video_Finished\180\180_CE.mp4,Video_Finished\180\180_English.srt,Video_Finished\180\180_Chinese.srt,"k12, adult","male, female","Travel, Adventure, Lifestyle",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835063024630759424,Video_Finished\180\180_Arbic.srt
175,176.0,180.0,181,Video_Finished\181\181_CE.mp4,Video_Finished\181\181_English.srt,Video_Finished\181\181_Chinese.srt,"k12, adult","male, female",Technology,B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835063360409980928,Video_Finished\181\181_Arbic.srt
176,177.0,181.0,182,Video_Finished\182\182_CE.mp4,Video_Finished\182\182_English.srt,Video_Finished\182\182_Chinese.srt,adult,"male, female","Cars & Vehicles, Technology",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835063537858375680,Video_Finished\182\182_Arbic.srt
177,178.0,182.0,183,Video_Finished\183\183_CE.mp4,Video_Finished\183\183_English.srt,Video_Finished\183\183_Chinese.srt,"k12, adult","male, female","Comedy, Sports, Movies & TV, Humor",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835063635019452416,Video_Finished\183\183_Arbic.srt
178,179.0,183.0,184,Video_Finished\184\184_CE.mp4,Video_Finished\184\184_English.srt,Video_Finished\184\184_Chinese.srt,adult,"male, female",Cars & Vehicles,A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835063851797856257,Video_Finished\184\184_Arbic.srt
179,180.0,184.0,185,Video_Finished\185\185_CE.mp4,Video_Finished\185\185_English.srt,Video_Finished\185\185_Chinese.srt,"k12, adult","male, female","Pets, Love & Relationships,",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835063939391692802,Video_Finished\185\185_Arbic.srt
180,181.0,185.0,186,Video_Finished\186\186_CE.mp4,Video_Finished\186\186_English.srt,Video_Finished\186\186_Chinese.srt,adult,"male, female","Cars & Vehicles, Technology",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835056690648715266,Video_Finished\186\186_Arbic.srt
181,182.0,186.0,187,Video_Finished\187\187_CE.mp4,Video_Finished\187\187_English.srt,Video_Finished\187\187_Chinese.srt,"k12, adult","male, female","DIY & Crafts, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835057812444680194,Video_Finished\187\187_Arbic.srt
